City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,277.72,86,74,13.27,TF,1699417571
1,kamina,-8.7386,24.9906,290.73,93,100,0.6,CD,1699417572
2,port elizabeth,-33.918,25.5701,288.88,77,0,3.6,ZA,1699417572
3,puerto baquerizo moreno,-0.9,-89.6,297.27,75,62,4.42,EC,1699417573
4,aykhal,66.0,111.5,255.65,93,31,2.03,RU,1699417573
5,punta del este,-34.9667,-54.95,295.21,94,75,2.57,UY,1699417574
6,edinburgh of the seven seas,-37.0676,-12.3116,287.26,84,87,11.94,SH,1699417575
7,usinsk,65.9939,57.5281,274.86,100,100,5.36,RU,1699417575
8,hovd,48.0056,91.6419,267.66,53,5,0.97,MN,1699417576
9,ilulissat,69.2167,-51.1,274.16,44,75,6.17,GL,1699417576
10,bredasdorp,-34.5322,20.0403,284.92,72,7,1.18,ZA,1699417577
11,adamstown,-25.066,-130.1015,295.83,88,100,8.22,PN,1699417577
12,lihue,21.9789,-159.3672,300.73,80,75,5.66,US,1699417578
13,thompson,55.7435,-97.8558,271.24,74,100,2.06,CA,1699417578
14,tazovsky,67.4667,78.7,270.66,96,100,5.72,RU,1699417579
15,nova sintra,14.8667,-24.7167,296.49,71,66,6.9,CV,1699417580
16,avarua,-21.2078,-159.775,297.18,60,40,5.66,CK,1699417580
17,uturoa,-16.7333,-151.4333,298.54,78,69,10.66,PF,1699417581
18,papatowai,-46.5619,169.4708,285.44,52,71,3.97,NZ,1699417581
19,grytviken,-54.2811,-36.5092,276.52,70,3,3.17,GS,1699417582
20,cafayate,-26.073,-65.9761,297.42,61,56,0.64,AR,1699417582
21,utrik,11.2278,169.8474,301.08,80,100,9.83,MH,1699417583
22,belmonte,-15.8631,-38.8828,296.99,70,98,4.79,BR,1699417583
23,zhaozhou,45.6833,125.3167,269.86,94,100,1.73,CN,1699417583
24,talara,-4.5772,-81.2719,294.08,78,3,7.04,PE,1699417584
25,ushuaia,-54.8,-68.3,274.96,69,0,5.14,AR,1699417437
